Chord kind,Formula from root,Root-position 31-EDO steps,Root position,1st inversion,2nd inversion,3rd inversion,4th inversion,5th inversion,6th inversion
Power fifth / open fifth,P1-P5,"[0, 18]","[0, 18]","[0, 13]",,,,,
Major triad,P1-M3-P5,"[0, 10, 18]","[0, 10, 18]","[0, 8, 21]","[0, 13, 23]",,,,
Minor triad,P1-b3-P5,"[0, 8, 18]","[0, 8, 18]","[0, 10, 23]","[0, 13, 21]",,,,
Diminished triad,P1-b3-b5,"[0, 8, 16]","[0, 8, 16]","[0, 8, 23]","[0, 15, 23]",,,,
Augmented triad,P1-M3-#5,"[0, 10, 20]","[0, 10, 20]","[0, 10, 21]","[0, 11, 21]",,,,
Suspended 2nd,P1-M2-P5,"[0, 5, 18]","[0, 5, 18]","[0, 13, 26]","[0, 13, 18]",,,,
Suspended 4th,P1-P4-P5,"[0, 13, 18]","[0, 13, 18]","[0, 5, 18]","[0, 13, 26]",,,,
Quartal triad,P1-P4-b7,"[0, 13, 26]","[0, 13, 26]","[0, 13, 18]","[0, 5, 18]",,,,
Major 6,P1-M3-P5-M6,"[0, 10, 18, 23]","[0, 10, 18, 23]","[0, 8, 13, 21]","[0, 5, 13, 23]","[0, 8, 18, 26]",,,
Minor 6,P1-b3-P5-M6,"[0, 8, 18, 23]","[0, 8, 18, 23]","[0, 10, 15, 23]","[0, 5, 13, 21]","[0, 8, 16, 26]",,,
Major 7,P1-M3-P5-M7,"[0, 10, 18, 28]","[0, 10, 18, 28]","[0, 8, 18, 21]","[0, 10, 13, 23]","[0, 3, 13, 21]",,,
Dominant 7,P1-M3-P5-b7,"[0, 10, 18, 26]","[0, 10, 18, 26]","[0, 8, 16, 21]","[0, 8, 13, 23]","[0, 5, 15, 23]",,,
Minor 7,P1-b3-P5-b7,"[0, 8, 18, 26]","[0, 8, 18, 26]","[0, 10, 18, 23]","[0, 8, 13, 21]","[0, 5, 13, 23]",,,
Minor-major 7,P1-b3-P5-M7,"[0, 8, 18, 28]","[0, 8, 18, 28]","[0, 10, 20, 23]","[0, 10, 13, 21]","[0, 3, 11, 21]",,,
Half-diminished 7 / m7b5,P1-b3-b5-b7,"[0, 8, 16, 26]","[0, 8, 16, 26]","[0, 8, 18, 23]","[0, 10, 15, 23]","[0, 5, 13, 21]",,,
Diminished 7,P1-b3-b5-bb7,"[0, 8, 16, 24]","[0, 8, 16, 24]","[0, 8, 16, 23]","[0, 8, 15, 23]","[0, 7, 15, 23]",,,
Augmented major 7,P1-M3-#5-M7,"[0, 10, 20, 28]","[0, 10, 20, 28]","[0, 10, 18, 21]","[0, 8, 11, 21]","[0, 3, 13, 23]",,,
Augmented 7,P1-M3-#5-b7,"[0, 10, 20, 26]","[0, 10, 20, 26]","[0, 10, 16, 21]","[0, 6, 11, 21]","[0, 5, 15, 25]",,,
Major 7 flat 5,P1-M3-b5-M7,"[0, 10, 16, 28]","[0, 10, 16, 28]","[0, 6, 18, 21]","[0, 12, 15, 25]","[0, 3, 13, 19]",,,
Dominant 7 flat 5,P1-M3-b5-b7,"[0, 10, 16, 26]","[0, 10, 16, 26]","[0, 6, 16, 21]","[0, 10, 15, 25]","[0, 5, 15, 21]",,,
Dominant 7 sharp 5,P1-M3-#5-b7,"[0, 10, 20, 26]","[0, 10, 20, 26]","[0, 10, 16, 21]","[0, 6, 11, 21]","[0, 5, 15, 25]",,,
Dominant 7 suspended 4,P1-P4-P5-b7,"[0, 13, 18, 26]","[0, 13, 18, 26]","[0, 5, 13, 18]","[0, 8, 13, 26]","[0, 5, 18, 23]",,,
Major add 9,P1-M3-P5-9,"[0, 10, 18, 36]","[0, 10, 18, 36]","[0, 8, 21, 26]","[0, 13, 18, 23]","[0, 5, 10, 18]",,,
Minor add 9,P1-b3-P5-9,"[0, 8, 18, 36]","[0, 8, 18, 36]","[0, 10, 23, 28]","[0, 13, 18, 21]","[0, 5, 8, 18]",,,
Major 6/9,P1-M3-P5-M6-9,"[0, 10, 18, 23, 36]","[0, 10, 18, 23, 36]","[0, 8, 13, 21, 26]","[0, 5, 13, 18, 23]","[0, 8, 13, 18, 26]","[0, 5, 10, 18, 23]",,
Minor 6/9,P1-b3-P5-M6-9,"[0, 8, 18, 23, 36]","[0, 8, 18, 23, 36]","[0, 10, 15, 23, 28]","[0, 5, 13, 18, 21]","[0, 8, 13, 16, 26]","[0, 5, 8, 18, 23]",,
Dominant 9,P1-M3-P5-b7-9,"[0, 10, 18, 26, 36]","[0, 10, 18, 26, 36]","[0, 8, 16, 21, 26]","[0, 8, 13, 18, 23]","[0, 5, 10, 15, 23]","[0, 5, 10, 18, 26]",,
Major 9,P1-M3-P5-M7-9,"[0, 10, 18, 28, 36]","[0, 10, 18, 28, 36]","[0, 8, 18, 21, 26]","[0, 10, 13, 18, 23]","[0, 3, 8, 13, 21]","[0, 5, 10, 18, 28]",,
Minor 9,P1-b3-P5-b7-9,"[0, 8, 18, 26, 36]","[0, 8, 18, 26, 36]","[0, 10, 18, 23, 28]","[0, 8, 13, 18, 21]","[0, 5, 10, 13, 23]","[0, 5, 8, 18, 26]",,
Minor-major 9,P1-b3-P5-M7-9,"[0, 8, 18, 28, 36]","[0, 8, 18, 28, 36]","[0, 10, 20, 23, 28]","[0, 10, 13, 18, 21]","[0, 3, 8, 11, 21]","[0, 5, 8, 18, 28]",,
Dominant 7 flat 9,P1-M3-P5-b7-b9,"[0, 10, 18, 26, 34]","[0, 10, 18, 26, 34]","[0, 8, 16, 21, 24]","[0, 8, 13, 16, 23]","[0, 5, 8, 15, 23]","[0, 3, 10, 18, 26]",,
Dominant 7 sharp 9,P1-M3-P5-b7-#9,"[0, 10, 18, 26, 38]","[0, 10, 18, 26, 38]","[0, 8, 16, 21, 28]","[0, 8, 13, 20, 23]","[0, 5, 12, 15, 23]","[0, 7, 10, 18, 26]",,
Dominant 9 flat 5,P1-M3-b5-b7-9,"[0, 10, 16, 26, 36]","[0, 10, 16, 26, 36]","[0, 6, 16, 21, 26]","[0, 10, 15, 20, 25]","[0, 5, 10, 15, 21]","[0, 5, 10, 16, 26]",,
Dominant 9 sharp 5,P1-M3-#5-b7-9,"[0, 10, 20, 26, 36]","[0, 10, 20, 26, 36]","[0, 10, 16, 21, 26]","[0, 6, 11, 16, 21]","[0, 5, 10, 15, 25]","[0, 5, 10, 20, 26]",,
Dominant 11,P1-M3-P5-b7-9-11,"[0, 10, 18, 26, 36, 44]","[0, 10, 18, 26, 36, 44]","[0, 8, 16, 21, 26, 34]","[0, 8, 13, 18, 23, 26]","[0, 5, 10, 15, 18, 23]","[0, 5, 10, 13, 18, 26]","[0, 5, 8, 13, 21, 26]",
Minor 11,P1-b3-P5-b7-9-11,"[0, 8, 18, 26, 36, 44]","[0, 8, 18, 26, 36, 44]","[0, 10, 18, 23, 28, 36]","[0, 8, 13, 18, 21, 26]","[0, 5, 10, 13, 18, 23]","[0, 5, 8, 13, 18, 26]","[0, 3, 8, 13, 21, 26]",
Major 9 sharp 11,P1-M3-P5-M7-9-#11,"[0, 10, 18, 28, 36, 46]","[0, 10, 18, 28, 36, 46]","[0, 8, 18, 21, 26, 36]","[0, 10, 13, 18, 23, 28]","[0, 3, 8, 13, 18, 21]","[0, 5, 10, 15, 18, 28]","[0, 5, 10, 13, 23, 26]",
Dominant 9 sharp 11,P1-M3-P5-b7-9-#11,"[0, 10, 18, 26, 36, 46]","[0, 10, 18, 26, 36, 46]","[0, 8, 16, 21, 26, 36]","[0, 8, 13, 18, 23, 28]","[0, 5, 10, 15, 20, 23]","[0, 5, 10, 15, 18, 26]","[0, 5, 10, 13, 21, 26]",
Dominant 13,P1-M3-P5-b7-9-13,"[0, 10, 18, 26, 36, 54]","[0, 10, 18, 26, 36, 54]","[0, 8, 16, 21, 26, 44]","[0, 8, 13, 18, 23, 36]","[0, 5, 10, 15, 23, 28]","[0, 5, 10, 18, 23, 26]","[0, 5, 13, 18, 21, 26]",
Major 13,P1-M3-P5-M7-9-13,"[0, 10, 18, 28, 36, 54]","[0, 10, 18, 28, 36, 54]","[0, 8, 18, 21, 26, 44]","[0, 10, 13, 18, 23, 36]","[0, 3, 8, 13, 21, 26]","[0, 5, 10, 18, 23, 28]","[0, 5, 13, 18, 23, 26]",
Minor 13,P1-b3-P5-b7-9-11-13,"[0, 8, 18, 26, 36, 44, 54]","[0, 8, 18, 26, 36, 44, 54]","[0, 10, 18, 23, 28, 36, 46]","[0, 8, 13, 18, 21, 26, 36]","[0, 5, 10, 13, 18, 23, 28]","[0, 5, 8, 13, 18, 23, 26]","[0, 3, 8, 13, 18, 21, 26]","[0, 5, 10, 15, 18, 23, 28]"
Dominant 13 flat 9,P1-M3-P5-b7-b9-13,"[0, 10, 18, 26, 34, 54]","[0, 10, 18, 26, 34, 54]","[0, 8, 16, 21, 24, 44]","[0, 8, 13, 16, 23, 36]","[0, 5, 8, 15, 23, 28]","[0, 3, 10, 18, 23, 26]","[0, 7, 15, 20, 23, 28]",
Dominant 13 flat 9 sharp 11,P1-M3-P5-b7-b9-#11-13,"[0, 10, 18, 26, 34, 46, 54]","[0, 10, 18, 26, 34, 46, 54]","[0, 8, 16, 21, 24, 36, 44]","[0, 8, 13, 16, 23, 28, 36]","[0, 5, 8, 15, 20, 23, 28]","[0, 3, 10, 15, 18, 23, 26]","[0, 7, 12, 15, 20, 23, 28]","[0, 5, 8, 13, 16, 21, 24]"
Altered dominant 7alt core,P1-M3-b7-b9-#9-b5-#5,"[0, 10, 26, 34, 38, 16, 20]","[0, 10, 16, 20, 26, 34, 38]","[0, 6, 10, 16, 21, 24, 28]","[0, 4, 10, 15, 18, 22, 25]","[0, 6, 11, 14, 18, 21, 27]","[0, 5, 8, 12, 15, 21, 25]","[0, 3, 7, 10, 16, 20, 26]","[0, 4, 7, 13, 17, 23, 28]"
Italian augmented sixth,P1-M3-#6,"[0, 10, 25]","[0, 10, 25]","[0, 15, 21]","[0, 6, 16]",,,,
French augmented sixth,P1-M3-#4-#6,"[0, 10, 15, 25]","[0, 10, 15, 25]","[0, 5, 15, 21]","[0, 10, 16, 26]","[0, 6, 16, 21]",,,
German augmented sixth,P1-M3-P5-#6,"[0, 10, 18, 25]","[0, 10, 18, 25]","[0, 8, 15, 21]","[0, 7, 13, 23]","[0, 6, 16, 24]",,,
